thread,query_type,latency_us
reader,SELECT,37.166000000032895
writer,UPDATE,48.791999999853175
reader,SELECT,36.33300000016604
reader,SELECT,32.37500000019544
writer,UPDATE,42.70800000005792
reader,SELECT,40.91699999997367
reader,SELECT,27.5839999999139
writer,UPDATE,32.29099999990659
reader,SELECT,29.124999999963208
reader,SELECT,25.75000000004657
writer,UPDATE,28.541000000048555
reader,SELECT,29.99999999997449
reader,SELECT,25.375000000105175
reader,SELECT,55.41700000000205
writer,UPDATE,71.20899999990549
reader,SELECT,41.082999999941805
writer,UPDATE,41.37499999989913
reader,SELECT,37.791000000009234
reader,SELECT,44.41599999993606
writer,UPDATE,62.7079999999669
reader,SELECT,47.87499999991951
reader,SELECT,43.12500000014374
writer,UPDATE,43.167000000066125
reader,SELECT,71.70799999989264
writer,UPDATE,56.87500000006729
reader,SELECT,55.41700000000205
reader,SELECT,38.91699999991616
writer,UPDATE,47.62500000010661
reader,SELECT,47.58299999996218
reader,SELECT,37.541999999834985
writer,UPDATE,48.70800000000841
reader,SELECT,46.750000000095326
reader,SELECT,40.25000000007495
writer,UPDATE,51.291999999980575
reader,SELECT,48.74999999993079
reader,SELECT,43.41600000001833
writer,UPDATE,62.04200000015092
reader,SELECT,51.12500000015174
reader,SELECT,38.41699999984627
writer,UPDATE,290.91700000005716
reader,SELECT,39.499999999970115
reader,SELECT,30.458999999982694
reader,SELECT,72.41699999993578
writer,UPDATE,82.49999999998536
reader,SELECT,39.62500000009861
reader,SELECT,66.37499999984087
writer,UPDATE,60.50000000001887
reader,SELECT,38.20799999987301
writer,UPDATE,26.999999999999247
reader,SELECT,37.874999999854
reader,SELECT,30.292000000153863
writer,UPDATE,35.75000000011208
reader,SELECT,36.95799999992033
reader,SELECT,33.95799999994509
writer,UPDATE,40.041999999962385
reader,SELECT,35.707999999967655
reader,SELECT,69.41600000009984
writer,UPDATE,71.66599999997025
reader,SELECT,47.45800000005573
reader,SELECT,24.750000000128836
writer,UPDATE,39.95799999989558
reader,SELECT,30.041999999896873
reader,SELECT,25.042000000086162
writer,UPDATE,18.999999999991246
reader,SELECT,26.875000000092797
reader,SELECT,57.54199999996601
writer,UPDATE,21.083000000032825
reader,SELECT,37.6250000000411
reader,SELECT,54.95899999985454
writer,UPDATE,23.70899999992737
reader,SELECT,27.749999999882036
reader,SELECT,50.541000000015046
writer,UPDATE,21.749999999931546
reader,SELECT,31.12500000002072
reader,SELECT,24.50000000009389
writer,UPDATE,29.45900000006496
reader,SELECT,37.20900000003802
reader,SELECT,52.58400000007768
